epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,6896.71,1.09434,2.05299,0.88737,1.38507,0.8998,0.87118,0.92766,0.6132,0.82071,0.82717,0.82604,0.46164,1.13859,2.11791,0.76385,1.49878,0.000184055,0.000184055,0.000184055
90,6968.29,1.08811,2.03791,0.89219,1.38051,0.8881,0.87824,0.93166,0.61444,0.82732,0.82549,0.82237,0.45614,1.13696,2.10477,0.75659,1.49176,0.000169908,0.000169908,0.000169908
91,7036.9,1.0245,1.80484,0.75965,1.37327,0.89385,0.89169,0.933,0.61788,0.81874,0.81606,0.81219,0.47184,1.12526,2.12981,0.76466,1.49116,0.000155761,0.000155761,0.000155761
92,7103.45,0.98218,1.75441,0.70362,1.33327,0.91436,0.87396,0.9425,0.62485,0.83984,0.79621,0.82417,0.47304,1.11974,2.10326,0.74136,1.48916,0.000141614,0.000141614,0.000141614
93,7169.87,0.97399,1.74434,0.70006,1.33228,0.9035,0.90057,0.94101,0.62245,0.83724,0.83556,0.82595,0.47167,1.14371,2.11838,0.74503,1.50104,0.000127467,0.000127467,0.000127467
94,7235.14,0.97431,1.75456,0.69397,1.34268,0.90331,0.90143,0.93804,0.62746,0.83277,0.82765,0.82128,0.47338,1.12626,2.10041,0.73253,1.49538,0.00011332,0.00011332,0.00011332
95,7300.08,0.95393,1.73138,0.68385,1.32758,0.89331,0.89352,0.93183,0.63158,0.83786,0.83813,0.84204,0.47559,1.11593,2.10937,0.74199,1.48707,9.91726e-05,9.91726e-05,9.91726e-05
96,7366.16,0.96469,1.74051,0.67919,1.32897,0.92879,0.86189,0.94076,0.63217,0.84641,0.81234,0.83979,0.48217,1.10732,2.11263,0.74418,1.4829,8.50255e-05,8.50255e-05,8.50255e-05
97,7432.48,0.94554,1.68192,0.67632,1.3148,0.89415,0.8976,0.93946,0.63268,0.8234,0.83566,0.83683,0.48738,1.10888,2.11657,0.74272,1.48312,7.08784e-05,7.08784e-05,7.08784e-05
98,7498.2,0.94805,1.7071,0.68205,1.32647,0.89698,0.90783,0.9436,0.63341,0.82438,0.83422,0.82931,0.47455,1.10111,2.11047,0.74098,1.48209,5.67313e-05,5.67313e-05,5.67313e-05
99,7563.6,0.92569,1.6719,0.66107,1.29787,0.90164,0.88261,0.93756,0.63184,0.83007,0.83632,0.83353,0.47865,1.10433,2.10744,0.73555,1.4852,4.25842e-05,4.25842e-05,4.25842e-05
100,7628.73,0.93404,1.68644,0.65334,1.31017,0.90413,0.89002,0.94219,0.63467,0.83982,0.84262,0.84244,0.47935,1.10066,2.10615,0.7302,1.48199,2.84371e-05,2.84371e-05,2.84371e-05
